input_size,class_size
1,880
10001,10880
20001,20880
30001,30880
40001,40880
50001,50880
60001,60880
70001,70880
80001,80880
90001,90880
100001,100880
110001,110880
120001,120880
130001,130880
140001,140880
150001,150880
160001,160880
170001,170880
180001,180880
190001,190880
200001,200880
210001,210880
220001,220880
230001,230880
240001,240880
250001,250880
260001,260880
270001,270880
280001,280880
290001,290880
300001,300880
310001,310880
320001,320880
330001,330880
340001,340880
350001,350880
360001,360880
370001,370880
380001,380880
390001,390880
400001,400880
410001,410880
420001,420880
430001,430880
440001,440880
450001,450880
460001,460880
470001,470880
480001,480880
490001,490880
500001,500880
510001,510880
520001,520880
530001,530880
540001,540880
550001,550880
560001,560880
570001,570880
580001,580880
590001,590880
600001,600880
610001,610880
620001,620880
630001,630880
640001,640880
650001,650880
660001,660880
670001,670880
680001,680880
690001,690880
700001,700880
710001,710880
720001,720880
730001,730880
740001,740880
750001,750880
760001,760880
770001,770880
780001,780880
790001,790880
800001,800880
810001,810880
820001,820880
830001,830880
840001,840880
850001,850880
860001,860880
870001,870880
880001,880880
890001,890880
900001,900880
910001,910880
920001,920880
930001,930880
940001,940880
950001,950880
960001,960880
970001,970880
980001,980880
990001,990880
