input_size,class_size
1,1395
101,1495
201,1595
301,1695
401,1795
501,1895
601,1995
701,2095
801,2195
901,2295
1001,2395
1101,2495
1201,2595
1301,2695
1401,2795
1501,2895
1601,2995
1701,3095
1801,3195
1901,3295
2001,3395
2101,3495
2201,3595
2301,3695
2401,3795
2501,3895
2601,3995
2701,4095
2801,4195
2901,4295
3001,4395
3101,4495
3201,4595
3301,4695
3401,4795
3501,4895
3601,4995
3701,5095
3801,5195
3901,5295
4001,5395
4101,5495
4201,5595
4301,5695
4401,5795
4501,5895
4601,5995
4701,6095
4801,6195
4901,6295
5001,6395
5101,6495
5201,6595
5301,6695
5401,6795
5501,6895
5601,6995
5701,7095
5801,7195
5901,7295
6001,7395
6101,7495
6201,7595
6301,7695
6401,7795
6501,7895
6601,7995
6701,8095
6801,8195
6901,8295
7001,8395
7101,8495
7201,8595
7301,8695
7401,8795
7501,8895
7601,8995
7701,9095
7801,9195
7901,9295
8001,9395
8101,9495
8201,9595
8301,9695
8401,9795
8501,9895
8601,9995
8701,10095
8801,10195
8901,10295
9001,10395
9101,10495
9201,10595
9301,10695
9401,10795
9501,10895
9601,10995
9701,11095
9801,11195
9901,11295
