input_size,class_size
1,2207
101,87207
201,172207
301,257207
401,342207
501,427207
601,512207
701,597207
801,682207
901,767207
1001,852207
1101,937207
1201,1022207
1301,1107207
1401,1192207
1501,1277207
1601,1362207
1701,1447207
1801,1532207
1901,1617207
2001,1702207
2101,1787207
2201,1872207
2301,1957207
2401,2042207
2501,2127207
2601,2212207
2701,2297207
2801,2382207
2901,2467207
3001,2552207
3101,2637207
3201,2722207
3301,2807207
3401,2892207
3501,2977207
3601,3062207
3701,3147207
3801,3232207
3901,3317207
4001,3402207
4101,3487207
4201,3572207
4301,3657207
4401,3742207
4501,3827207
4601,3912207
4701,3997207
4801,4082207
4901,4167207
5001,4252207
5101,4337207
5201,4422207
5301,4507207
5401,4592207
5501,4677207
5601,4762207
5701,4847207
5801,4932207
5901,5017207
6001,5102207
6101,5187207
6201,5272207
6301,5357207
6401,5442207
6501,5527207
6601,5612207
6701,5697207
6801,5782207
6901,5867207
7001,5952207
7101,6037207
7201,6122207
7301,6207207
7401,6292207
7501,6377207
7601,6462207
7701,6547207
7801,6632207
7901,6717207
8001,6802207
8101,6887207
8201,6972207
8301,7057207
8401,7142207
8501,7227207
8601,7312207
8701,7397207
8801,7482207
8901,7567207
9001,7652207
9101,7737207
9201,7822207
9301,7907207
9401,7992207
9501,8077207
9601,8162207
9701,8247207
9801,8332207
9901,8417207
