input_size,class_size
1,1910
101,57210
201,112510
301,167810
401,223110
501,278410
601,333710
701,389010
801,444310
901,499610
1001,554910
1101,610210
1201,665510
1301,720810
1401,776110
1501,831410
1601,886710
1701,942010
1801,997310
1901,1052610
2001,1107910
2101,1163210
2201,1218510
2301,1273810
2401,1329110
2501,1384410
2601,1439710
2701,1495010
2801,1550310
2901,1605610
3001,1660910
3101,1716210
3201,1771510
3301,1826810
3401,1882110
3501,1937410
3601,1992710
3701,2048010
3801,2103310
3901,2158610
4001,2213910
4101,2269210
4201,2324510
4301,2379810
4401,2435110
4501,2490410
4601,2545710
4701,2601010
4801,2656310
4901,2711610
5001,2766910
5101,2822210
5201,2877510
5301,2932810
5401,2988110
5501,3043410
5601,3098710
5701,3154010
5801,3209310
5901,3264610
6001,3319910
6101,3375210
6201,3430510
6301,3485810
6401,3541110
6501,3596410
6601,3651710
6701,3707010
6801,3762310
6901,3817610
7001,3872910
7101,3928210
7201,3983510
7301,4038810
7401,4094110
7501,4149410
7601,4204710
7701,4260010
7801,4315310
7901,4370610
8001,4425910
8101,4481210
8201,4536510
8301,4591810
8401,4647110
8501,4702410
8601,4757710
8701,4813010
8801,4868310
8901,4923610
9001,4978910
9101,5034210
9201,5089510
9301,5144810
9401,5200110
9501,5255410
9601,5310710
9701,5366010
9801,5421310
9901,5476610
