input_size,class_size
1,35631
101,490131
201,944631
301,1399131
401,1853631
501,2308131
601,2762631
701,3217131
801,3671631
901,4126131
1001,4580631
1101,5035131
1201,5489631
1301,5944131
1401,6398631
1501,6853131
1601,7307631
1701,7762131
1801,8216631
1901,8671131
2001,9125631
2101,9580131
2201,10034631
2301,10489131
2401,10943631
2501,11398131
2601,11852631
2701,12307131
2801,12761631
2901,13216131
3001,13670631
3101,14125131
3201,14579631
3301,15034131
3401,15488631
3501,15943131
3601,16397631
3701,16852131
3801,17306631
3901,17761131
4001,18215631
4101,18670131
4201,19124631
4301,19579131
4401,20033631
4501,20488131
4601,20942631
4701,21397131
4801,21851631
4901,22306131
5001,22760631
5101,23215131
5201,23669631
5301,24124131
5401,24578631
5501,25033131
5601,25487631
5701,25942131
5801,26396631
5901,26851131
6001,27305631
6101,27760131
6201,28214631
6301,28669131
6401,29123631
6501,29578131
6601,30032631
6701,30487131
6801,30941631
6901,31396131
7001,31850631
7101,32305131
7201,32759631
7301,33214131
7401,33668631
7501,34123131
7601,34577631
7701,35032131
7801,35486631
7901,35941131
8001,36395631
8101,36850131
8201,37304631
8301,37759131
8401,38213631
8501,38668131
8601,39122631
8701,39577131
8801,40031631
8901,40486131
9001,40940631
9101,41395131
9201,41849631
9301,42304131
9401,42758631
9501,43213131
9601,43667631
9701,44122131
9801,44576631
9901,45031131
