input_size,class_size
1,1353
101,1453
201,1553
301,1653
401,1753
501,1853
601,1953
701,2053
801,2153
901,2253
1001,2353
1101,2453
1201,2553
1301,2653
1401,2753
1501,2853
1601,2953
1701,3053
1801,3153
1901,3253
2001,3353
2101,3453
2201,3553
2301,3653
2401,3753
2501,3853
2601,3953
2701,4053
2801,4153
2901,4253
3001,4353
3101,4453
3201,4553
3301,4653
3401,4753
3501,4853
3601,4953
3701,5053
3801,5153
3901,5253
4001,5353
4101,5453
4201,5553
4301,5653
4401,5753
4501,5853
4601,5953
4701,6053
4801,6153
4901,6253
5001,6353
5101,6453
5201,6553
5301,6653
5401,6753
5501,6853
5601,6953
5701,7053
5801,7153
5901,7253
6001,7353
6101,7453
6201,7553
6301,7653
6401,7753
6501,7853
6601,7953
6701,8053
6801,8153
6901,8253
7001,8353
7101,8453
7201,8553
7301,8653
7401,8753
7501,8853
7601,8953
7701,9053
7801,9153
7901,9253
8001,9353
8101,9453
8201,9553
8301,9653
8401,9753
8501,9853
8601,9953
8701,10053
8801,10153
8901,10253
9001,10353
9101,10453
9201,10553
9301,10653
9401,10753
9501,10853
9601,10953
9701,11053
9801,11153
9901,11253
