input_size,class_size
1,3629
101,230829
201,458029
301,685229
401,912429
501,1139629
601,1366829
701,1594029
801,1821229
901,2048429
1001,2275629
1101,2502829
1201,2730029
1301,2957229
1401,3184429
1501,3411629
1601,3638829
1701,3866029
1801,4093229
1901,4320429
2001,4547629
2101,4774829
2201,5002029
2301,5229229
2401,5456429
2501,5683629
2601,5910829
2701,6138029
2801,6365229
2901,6592429
3001,6819629
3101,7046829
3201,7274029
3301,7501229
3401,7728429
3501,7955629
3601,8182829
3701,8410029
3801,8637229
3901,8864429
4001,9091629
4101,9318829
4201,9546029
4301,9773229
4401,10000429
4501,10227629
4601,10454829
4701,10682029
4801,10909229
4901,11136429
5001,11363629
5101,11590829
5201,11818029
5301,12045229
5401,12272429
5501,12499629
5601,12726829
5701,12954029
5801,13181229
5901,13408429
6001,13635629
6101,13862829
6201,14090029
6301,14317229
6401,14544429
6501,14771629
6601,14998829
6701,15226029
6801,15453229
6901,15680429
7001,15907629
7101,16134829
7201,16362029
7301,16589229
7401,16816429
7501,17043629
7601,17270829
7701,17498029
7801,17725229
7901,17952429
8001,18179629
8101,18406829
8201,18634029
8301,18861229
8401,19088429
8501,19315629
8601,19542829
8701,19770029
8801,19997229
8901,20224429
9001,20451629
9101,20678829
9201,20906029
9301,21133229
9401,21360429
9501,21587629
9601,21814829
9701,22042029
9801,22269229
9901,22496429
