input_size,class_size
1,2441
101,110841
201,219241
301,327641
401,436041
501,544441
601,652841
701,761241
801,869641
901,978041
1001,1086441
1101,1194841
1201,1303241
1301,1411641
1401,1520041
1501,1628441
1601,1736841
1701,1845241
1801,1953641
1901,2062041
2001,2170441
2101,2278841
2201,2387241
2301,2495641
2401,2604041
2501,2712441
2601,2820841
2701,2929241
2801,3037641
2901,3146041
3001,3254441
3101,3362841
3201,3471241
3301,3579641
3401,3688041
3501,3796441
3601,3904841
3701,4013241
3801,4121641
3901,4230041
4001,4338441
4101,4446841
4201,4555241
4301,4663641
4401,4772041
4501,4880441
4601,4988841
4701,5097241
4801,5205641
4901,5314041
5001,5422441
5101,5530841
5201,5639241
5301,5747641
5401,5856041
5501,5964441
5601,6072841
5701,6181241
5801,6289641
5901,6398041
6001,6506441
6101,6614841
6201,6723241
6301,6831641
6401,6940041
6501,7048441
6601,7156841
6701,7265241
6801,7373641
6901,7482041
7001,7590441
7101,7698841
7201,7807241
7301,7915641
7401,8024041
7501,8132441
7601,8240841
7701,8349241
7801,8457641
7901,8566041
8001,8674441
8101,8782841
8201,8891241
8301,8999641
8401,9108041
8501,9216441
8601,9324841
8701,9433241
8801,9541641
8901,9650041
9001,9758441
9101,9866841
9201,9975241
9301,10083641
9401,10192041
9501,10300441
9601,10408841
9701,10517241
9801,10625641
9901,10734041
