input_size,class_size
1,2211
101,87211
201,172211
301,257211
401,342211
501,427211
601,512211
701,597211
801,682211
901,767211
1001,852211
1101,937211
1201,1022211
1301,1107211
1401,1192211
1501,1277211
1601,1362211
1701,1447211
1801,1532211
1901,1617211
2001,1702211
2101,1787211
2201,1872211
2301,1957211
2401,2042211
2501,2127211
2601,2212211
2701,2297211
2801,2382211
2901,2467211
3001,2552211
3101,2637211
3201,2722211
3301,2807211
3401,2892211
3501,2977211
3601,3062211
3701,3147211
3801,3232211
3901,3317211
4001,3402211
4101,3487211
4201,3572211
4301,3657211
4401,3742211
4501,3827211
4601,3912211
4701,3997211
4801,4082211
4901,4167211
5001,4252211
5101,4337211
5201,4422211
5301,4507211
5401,4592211
5501,4677211
5601,4762211
5701,4847211
5801,4932211
5901,5017211
6001,5102211
6101,5187211
6201,5272211
6301,5357211
6401,5442211
6501,5527211
6601,5612211
6701,5697211
6801,5782211
6901,5867211
7001,5952211
7101,6037211
7201,6122211
7301,6207211
7401,6292211
7501,6377211
7601,6462211
7701,6547211
7801,6632211
7901,6717211
8001,6802211
8101,6887211
8201,6972211
8301,7057211
8401,7142211
8501,7227211
8601,7312211
8701,7397211
8801,7482211
8901,7567211
9001,7652211
9101,7737211
9201,7822211
9301,7907211
9401,7992211
9501,8077211
9601,8162211
9701,8247211
9801,8332211
9901,8417211
