input_size,class_size
1,1914
101,57214
201,112514
301,167814
401,223114
501,278414
601,333714
701,389014
801,444314
901,499614
1001,554914
1101,610214
1201,665514
1301,720814
1401,776114
1501,831414
1601,886714
1701,942014
1801,997314
1901,1052614
2001,1107914
2101,1163214
2201,1218514
2301,1273814
2401,1329114
2501,1384414
2601,1439714
2701,1495014
2801,1550314
2901,1605614
3001,1660914
3101,1716214
3201,1771514
3301,1826814
3401,1882114
3501,1937414
3601,1992714
3701,2048014
3801,2103314
3901,2158614
4001,2213914
4101,2269214
4201,2324514
4301,2379814
4401,2435114
4501,2490414
4601,2545714
4701,2601014
4801,2656314
4901,2711614
5001,2766914
5101,2822214
5201,2877514
5301,2932814
5401,2988114
5501,3043414
5601,3098714
5701,3154014
5801,3209314
5901,3264614
6001,3319914
6101,3375214
6201,3430514
6301,3485814
6401,3541114
6501,3596414
6601,3651714
6701,3707014
6801,3762314
6901,3817614
7001,3872914
7101,3928214
7201,3983514
7301,4038814
7401,4094114
7501,4149414
7601,4204714
7701,4260014
7801,4315314
7901,4370614
8001,4425914
8101,4481214
8201,4536514
8301,4591814
8401,4647114
8501,4702414
8601,4757714
8701,4813014
8801,4868314
8901,4923614
9001,4978914
9101,5034214
9201,5089514
9301,5144814
9401,5200114
9501,5255414
9601,5310714
9701,5366014
9801,5421314
9901,5476614
